"REF_DATE","GEO","DGUID","Level of study","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","New Brunswick","2016A000213","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470062","5.4.6","","x","","","0"
"2000","Quebec","2016A000224","College","Number of graduates","Number","223","units","0","v90470063","6.1.1","15600","","","","0"
"2000","Quebec","2016A000224","College","Women+","Percent","239","units","0","v90470064","6.1.2","56","","","","0"
"2000","Quebec","2016A000224","College","Average age at graduation","Years","308","units","0","v90470065","6.1.3","23","","","","0"
"2000","Quebec","2016A000224","College","Median age at graduation","Years","308","units","0","v90470066","6.1.4","21","","","","0"
"2000","Quebec","2016A000224","College","Under age 25 at graduation","Percent","239","units","0","v90470067","6.1.5","82","","","","0"
"2000","Quebec","2016A000224","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470068","6.1.6","35","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Number of graduates","Number","223","units","0","v90470069","6.2.1","33200","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Women+","Percent","239","units","0","v90470070","6.2.2","61","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Average age at graduation","Years","308","units","0","v90470071","6.2.3","28","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Median age at graduation","Years","308","units","0","v90470072","6.2.4","24","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90470073","6.2.5","55","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470074","6.2.6","42","","","","0"
"2000","Quebec","2016A000224","Master's","Number of graduates","Number","223","units","0","v90470075","6.3.1","8700","","","","0"
"2000","Quebec","2016A000224","Master's","Women+","Percent","239","units","0","v90470076","6.3.2","56","","","","0"
"2000","Quebec","2016A000224","Master's","Average age at graduation","Years","308","units","0","v90470077","6.3.3","32","","","","0"
"2000","Quebec","2016A000224","Master's","Median age at graduation","Years","308","units","0","v90470078","6.3.4","29","","","","0"
"2000","Quebec","2016A000224","Master's","Under age 25 at graduation","Percent","239","units","0","v90470079","6.3.5","16","","","","0"
"2000","Quebec","2016A000224","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470080","6.3.6","28","","","","0"
"2000","Quebec","2016A000224","Doctorate","Number of graduates","Number","223","units","0","v90470081","6.4.1","1500","","","","0"
"2000","Quebec","2016A000224","Doctorate","Women+","Percent","239","units","0","v90470082","6.4.2","46","","","","0"
"2000","Quebec","2016A000224","Doctorate","Average age at graduation","Years","308","units","0","v90470083","6.4.3","34","","","","0"
"2000","Quebec","2016A000224","Doctorate","Median age at graduation","Years","308","units","0","v90470084","6.4.4","32","","","","0"
"2000","Quebec","2016A000224","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90470085","6.4.5","8","","","","0"
"2000","Quebec","2016A000224","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470086","6.4.6","17","","","","0"
"2000","Ontario","2016A000235","College","Number of graduates","Number","223","units","0","v90470087","7.1.1","51300","","","","0"
"2000","Ontario","2016A000235","College","Women+","Percent","239","units","0","v90470088","7.1.2","58","","","","0"
