"REF_DATE","GEO","DGUID","Level of study","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","New Brunswick","2016A000213","Master's","Men+","Median","Dollars","81","units","0","v88834226","5.3.2.2","57000","","","","0"
"2000","New Brunswick","2016A000213","Master's","Men+","75th percentile","Dollars","81","units","0","v88834227","5.3.2.3","65000","","","","0"
"2000","New Brunswick","2016A000213","Master's","Women+","25th percentile","Dollars","81","units","0","v88834228","5.3.3.1","40000","","","","0"
"2000","New Brunswick","2016A000213","Master's","Women+","Median","Dollars","81","units","0","v88834229","5.3.3.2","48000","","","","0"
"2000","New Brunswick","2016A000213","Master's","Women+","75th percentile","Dollars","81","units","0","v88834230","5.3.3.3","55400","","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Total - Gender","25th percentile","Dollars","81","units","0","v88834231","5.4.1.1","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Total - Gender","Median","Dollars","81","units","0","v88834232","5.4.1.2","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Total - Gender","75th percentile","Dollars","81","units","0","v88834233","5.4.1.3","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Men+","25th percentile","Dollars","81","units","0","v88834234","5.4.2.1","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Men+","Median","Dollars","81","units","0","v88834235","5.4.2.2","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Men+","75th percentile","Dollars","81","units","0","v88834236","5.4.2.3","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Women+","25th percentile","Dollars","81","units","0","v88834237","5.4.3.1","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Women+","Median","Dollars","81","units","0","v88834238","5.4.3.2","","x","","","0"
"2000","New Brunswick","2016A000213","Doctorate","Women+","75th percentile","Dollars","81","units","0","v88834239","5.4.3.3","","x","","","0"
"2000","Quebec","2016A000224","College","Total - Gender","25th percentile","Dollars","81","units","0","v88834240","6.1.1.1","23400","","","","0"
"2000","Quebec","2016A000224","College","Total - Gender","Median","Dollars","81","units","0","v88834241","6.1.1.2","28000","","","","0"
"2000","Quebec","2016A000224","College","Total - Gender","75th percentile","Dollars","81","units","0","v88834242","6.1.1.3","33800","","","","0"
"2000","Quebec","2016A000224","College","Men+","25th percentile","Dollars","81","units","0","v88834243","6.1.2.1","26000","","","","0"
"2000","Quebec","2016A000224","College","Men+","Median","Dollars","81","units","0","v88834244","6.1.2.2","32200","","","","0"
"2000","Quebec","2016A000224","College","Men+","75th percentile","Dollars","81","units","0","v88834245","6.1.2.3","39300","","","","0"
"2000","Quebec","2016A000224","College","Women+","25th percentile","Dollars","81","units","0","v88834246","6.1.3.1","21600","","","","0"
"2000","Quebec","2016A000224","College","Women+","Median","Dollars","81","units","0","v88834247","6.1.3.2","26000","","","","0"
"2000","Quebec","2016A000224","College","Women+","75th percentile","Dollars","81","units","0","v88834248","6.1.3.3","30200","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Total - Gender","25th percentile","Dollars","81","units","0","v88834249","6.2.1.1","30600","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Total - Gender","Median","Dollars","81","units","0","v88834250","6.2.1.2","39000","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Total - Gender","75th percentile","Dollars","81","units","0","v88834251","6.2.1.3","50000","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Men+","25th percentile","Dollars","81","units","0","v88834252","6.2.2.1","35000","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Men+","Median","Dollars","81","units","0","v88834253","6.2.2.2","44000","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Men+","75th percentile","Dollars","81","units","0","v88834254","6.2.2.3","55000","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Women+","25th percentile","Dollars","81","units","0","v88834255","6.2.3.1","29000","","","","0"
"2000","Quebec","2016A000224","Bachelor's","Women+","Median","Dollars","81","units","0","v88834256","6.2.3.2","35700","","","","0"
